date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:05	14229/14229	---MCZ	200	added ('OK')	text/css	etag:W/%22c8f1d455dbd57cbf2406b08dc518d201%22	https://tribe-campfire.t-assets.net/neo/3.53.1-3810/static/css/SlateApp.883f8e18.chunk.css	C:/My%20Web%20Sites/pfut2b/tribe-campfire.t-assets.net/neo/3.53.1-3810/static/css/SlateApp.883f8e18.chunk.css	(from https://realinvisibleg.tribeplatform.com/)
12:47:05	117652/117652	---MCZ	200	added ('OK')	text/css	etag:W/%222808a72d496776986decb5511d3e69f8%22	https://tribe-campfire.t-assets.net/neo/3.53.1-3810/static/css/client.d7d56fb2.css	C:/My%20Web%20Sites/pfut2b/tribe-campfire.t-assets.net/neo/3.53.1-3810/static/css/client.d7d56fb2.css	(from https://realinvisibleg.tribeplatform.com/)
12:47:06	2338455/2338455	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ac64766ea1181e21b6e012ec4a9dee75%22	https://tribe-campfire.t-assets.net/neo/3.53.1-3810/static/js/client.2a136df9.js	C:/My%20Web%20Sites/pfut2b/tribe-campfire.t-assets.net/neo/3.53.1-3810/static/js/client.2a136df9.js	(from https://realinvisibleg.tribeplatform.com/)
12:47:06	17291/17291	---M--	200	added ('OK')	image/png	date:Wed,%2011%20May%202022%2017:35:42%20GMT	https://tribe-s3-production.imgix.net/5eRjrFtV0eso8e9EZf0k2?w=500&auto=compress,format&dl	C:/My%20Web%20Sites/pfut2b/tribe-s3-production.imgix.net/5eRjrFtV0eso8e9EZf0k22dbe.png	(from https://realinvisibleg.tribeplatform.com/)
12:47:07	4097834/4097834	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c3507292c997e9d68b93ada7954c248f%22	https://tribe-campfire.t-assets.net/neo/3.53.1-3810/static/js/SlateApp.4eb2113e.chunk.js	C:/My%20Web%20Sites/pfut2b/tribe-campfire.t-assets.net/neo/3.53.1-3810/static/js/SlateApp.4eb2113e.chunk.js	(from https://realinvisibleg.tribeplatform.com/)
12:47:10	417377/417377	---MCZ	200	added ('OK')	text/html	etag:W/%2265e61-WlxxWQVbaZpPlYrDlnQaDzOk7FM%22	https://realinvisibleg.tribeplatform.com/auth/login	C:/My%20Web%20Sites/pfut2b/realinvisibleg.tribeplatform.com/auth/login.html	(from https://realinvisibleg.tribeplatform.com/)
12:47:13	418492/418492	---MCZ	200	added ('OK')	text/html	etag:W/%22662bc-MjiUbu9qUMgtxGYUtfB+ZoayJhI%22	https://realinvisibleg.tribeplatform.com/auth/signup	C:/My%20Web%20Sites/pfut2b/realinvisibleg.tribeplatform.com/auth/signup.html	(from https://realinvisibleg.tribeplatform.com/)
12:47:16	425005/425005	---MCZ	200	added ('OK')	text/html	etag:W/%2267c2d-HQvJnzkHPGIvLnZahzBYV7f0fXo%22	https://realinvisibleg.tribeplatform.com/member/GUEST_c4S8PEW4AVoixE7	C:/My%20Web%20Sites/pfut2b/realinvisibleg.tribeplatform.com/member/GUEST_c4S8PEW4AVoixE7.html	(from https://realinvisibleg.tribeplatform.com/)
12:47:18	59426/59426	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e822-180b04427f4%22	https://realinvisibleg.tribeplatform.com/sw.js	C:/My%20Web%20Sites/pfut2b/realinvisibleg.tribeplatform.com/sw.js	(from https://realinvisibleg.tribeplatform.com/)
12:47:21	1372/1372	---M-Z	200	added ('OK')	text/xml	etag:W/%2255c-QRN9fJg5jcnN0ee4MUtspAO6lEI%22	https://realinvisibleg.tribeplatform.com/rss/LsFgTQryHApd/posts	C:/My%20Web%20Sites/pfut2b/realinvisibleg.tribeplatform.com/rss/LsFgTQryHApd/posts	(from https://realinvisibleg.tribeplatform.com/health-eo1pe9r0)
